0	chulada	chulada	ES.SLANG
0	....	....	OTHER
0	m+pa+	m+pa+	WIX
0	y+anet+	y+anet+	WIX
0	,	,	OTHER
0	'iyari	'iyari	WIX
0	niuka	niuka	WIX
0	xeiyam+k+	xeiyam+k+	WIX
0	....	....	OTHER
0	abrazos	abrazos	ES
0	hijo	hijo	ES
1	Agradezco	Agradezco	ES
1	a	a	ES
1	dios	dios	ES
1	por	por	ES
1	darme	darme	ES
1	la	la	ES
1	oportunidad	oportunidad	ES
1	de	de	ES
1	ser	ser	ES
1	su	su	ES
1	asesorada	asesorada	ES
1	de	de	ES
1	tesis	tesis	ES
1	pampayuritzi	pampayuritzi	WIX
2	Testiga	Testiga	ES
2	jjj	jjj	OTHER
2	guapas	guapas	ES
2	ukarí	ukarí	WIX
2	😀	😀	OTHER
2	😍	😍	OTHER
2	😘	😘	OTHER
3	Wou	Wou	OTHER
3	muy	muy	ES
3	bien	bien	ES
3	...	...	OTHER
3	Ustedes	Ustedes	ES
3	salu2	salu2	ES.SLANG
3	aa	aa	ES
3	xeyunaitu	xeyunaitu	WIX
3	.	.	OTHER
5	Kepety	Kepety	WIX
5	.	.	OTHER
5	ane	ane	WIX
5	.	.	OTHER
5	uka	uka	WIX
5	..	..	OTHER
5	muy	muy	ES
5	guapa	guapa	ES
5	..	..	OTHER
5	😍	😍	OTHER
5	😘	😘	OTHER
6	Jajajaja	Jajajaja	OTHER
6	yariku	yariku	WIX
6	ya	ya	ES
6	no	no	ES
6	me	me	ES
6	peino	peino	ES
7	Felicidades	Felicidades	ES
7	neuki	neuki	WIX
7	aku	aku	WIX
7	😙	😙	OTHER
7	🍺	🍺	OTHER
7	pero	pero	ES
7	temando	temando	ES
7	abrazo	abrazo	ES
7	paraty	paraty	ES.SLANG
7	uki	uki	WIX
7	😚	😚	OTHER
7	😙	😙	OTHER
7	au	au	WIX
8	Nada	Nada	ES
8	mal	mal	ES
8	eku	eku	WIX
8	😝	😝	OTHER
8	😔	😔	OTHER
8	🙋	🙋	OTHER
8	😜	😜	OTHER
